emp_no,first_name,last_name,title,to_date,from_date
17013,Morris,Garigliano,Staff,9999-01-01,1995-05-24
17206,Berry,DeMori,Senior Engineer,9999-01-01,1998-12-27
17447,Zengping,Boreale,Staff,9999-01-01,1998-12-16
17369,Yaghout,Kenevan,Engineer,9999-01-01,1993-01-28
17369,Yaghout,Kenevan,Senior Engineer,9999-01-01,1998-01-28
17731,Gennady,Roison,Assistant Engineer,9999-01-01,1989-12-06
17731,Gennady,Roison,Engineer,9999-01-01,1997-12-06
17970,Filipp,Carrere,Technique Leader,9999-01-01,1989-01-09
17988,Mabhin,Calkin,Engineer,9999-01-01,1989-11-30
17988,Mabhin,Calkin,Senior Engineer,9999-01-01,1997-11-30
18021,Adil,Matzke,Engineer,9999-01-01,1987-05-08
18021,Adil,Matzke,Senior Engineer,9999-01-01,1995-05-08
18583,Stafford,Honglei,Staff,9999-01-01,1998-08-16
18424,Filipp,Rousseau,Engineer,9999-01-01,1995-06-07
18424,Filipp,Rousseau,Senior Engineer,9999-01-01,2002-06-07
18617,Surveyors,Crouzet,Senior Staff,9999-01-01,1998-04-24
18617,Surveyors,Crouzet,Staff,9999-01-01,1989-04-24
19236,Elzbieta,Morris,Engineer,9999-01-01,1988-07-12
18810,Taiji,Jarecki,Engineer,9999-01-01,1991-06-27
18810,Taiji,Jarecki,Senior Engineer,9999-01-01,1999-06-27
19350,Satoru,Yoshizawa,Senior Staff,9999-01-01,1999-03-27
19236,Elzbieta,Morris,Senior Engineer,9999-01-01,1993-07-12
19803,Ziva,Kowalchuk,Engineer,9999-01-01,1987-06-13
19350,Satoru,Yoshizawa,Staff,9999-01-01,1994-03-27
19803,Ziva,Kowalchuk,Senior Engineer,9999-01-01,1992-06-12
20248,Vidar,Demri,Staff,9999-01-01,1999-12-31
20100,Utz,Heuter,Senior Staff,9999-01-01,1995-06-15
20100,Utz,Heuter,Staff,9999-01-01,1986-06-15
20128,Kazunori,Peak,Senior Staff,9999-01-01,1999-08-13
20129,Rafael,Skafidas,Engineer,9999-01-01,1991-03-28
20129,Rafael,Skafidas,Senior Engineer,9999-01-01,2000-03-27
20313,Candida,Benveniste,Engineer,9999-01-01,1999-01-20
20500,Christoph,Trystram,Senior Staff,9999-01-01,1998-10-15
20500,Christoph,Trystram,Staff,9999-01-01,1993-10-15
21546,Yongmin,Lanteri,Senior Staff,9999-01-01,1988-02-16
20885,Otmar,Rothenberg,Engineer,9999-01-01,1989-03-14
20885,Otmar,Rothenberg,Senior Engineer,9999-01-01,1996-03-14
21181,Jianhui,Cangellaris,Assistant Engineer,9999-01-01,1991-10-06
21181,Jianhui,Cangellaris,Engineer,9999-01-01,1999-10-06
21188,Piyush,Danecki,Engineer,9999-01-01,2000-01-08
22185,Huai,Birch,Assistant Engineer,9999-01-01,1996-03-26
21843,Karsten,Azadmanesh,Senior Engineer,9999-01-01,1985-11-29
21909,Mohammed,Brizzi,Senior Staff,9999-01-01,1998-12-28
21909,Mohammed,Brizzi,Staff,9999-01-01,1991-12-28
22185,Huai,Birch,Engineer,9999-01-01,2002-03-26
22451,Jasminko,Bresenham,Senior Staff,9999-01-01,1996-12-15
22415,Perla,Jumpertz,Senior Staff,9999-01-01,1994-08-24
22451,Jasminko,Bresenham,Staff,9999-01-01,1987-12-16
22455,Barry,Unno,Senior Staff,9999-01-01,1999-11-16
22455,Barry,Unno,Staff,9999-01-01,1990-11-16
22926,Manibrata,Genther,Engineer,9999-01-01,1988-01-15
22926,Manibrata,Genther,Senior Engineer,9999-01-01,1996-01-15
23396,Hilari,Fairtlough,Technique Leader,9999-01-01,1986-12-15
24080,Jaana,Perez,Technique Leader,9999-01-01,1996-03-11
24377,Lubomir,Wroclawski,Engineer,9999-01-01,1993-07-25
24205,Roddy,Rubsam,Senior Engineer,9999-01-01,1993-09-19
24377,Lubomir,Wroclawski,Senior Engineer,9999-01-01,2000-07-25
24394,Zhonghui,Conta,Staff,9999-01-01,1994-09-10
24553,Anwar,Passafiume,Senior Staff,9999-01-01,1994-01-30
24553,Anwar,Passafiume,Staff,9999-01-01,1987-01-30
24571,Cordelia,Gischer,Engineer,9999-01-01,1989-03-14
24571,Cordelia,Gischer,Senior Engineer,9999-01-01,1995-03-14
25488,Ingmar,Basawa,Senior Staff,9999-01-01,1997-11-08
25488,Ingmar,Basawa,Staff,9999-01-01,1991-11-09
26629,Nevin,Rodham,Senior Staff,9999-01-01,1998-12-14
26788,Zongyan,Dalphin,Engineer,9999-01-01,1988-04-23
26671,Jiakeng,Kalorkoti,Engineer,9999-01-01,1994-12-25
26671,Jiakeng,Kalorkoti,Senior Engineer,9999-01-01,2001-12-25
26788,Zongyan,Dalphin,Senior Engineer,9999-01-01,1993-04-23
27331,Wanqing,Krohm,Senior Staff,9999-01-01,1999-01-22
27331,Wanqing,Krohm,Staff,9999-01-01,1991-01-22
27378,Piyawadee,Leppanen,Senior Staff,9999-01-01,1999-02-25
27686,Manu,Rosiles,Senior Staff,9999-01-01,1998-03-03
27620,Shuji,Kandlur,Engineer,9999-01-01,1990-03-02
27620,Shuji,Kandlur,Senior Engineer,9999-01-01,1997-03-02
27699,Falguni,Pezzoli,Engineer,9999-01-01,1996-12-23
28974,Chenxi,Sundgren,Senior Engineer,9999-01-01,1986-09-02
27767,Tooru,Veldwijk,Senior Staff,9999-01-01,2000-11-21
27767,Tooru,Veldwijk,Staff,9999-01-01,1993-11-21
28193,Xinglin,Mitsuhashi,Engineer,9999-01-01,1988-12-14
28193,Xinglin,Mitsuhashi,Senior Engineer,9999-01-01,1997-12-14
28988,Tua,Giveon,Technique Leader,9999-01-01,1998-09-09
29130,Xumin,Thorensen,Staff,9999-01-01,1998-04-26
29380,Satoru,Vidal,Assistant Engineer,9999-01-01,1998-05-02
29265,Gilbert,Calkin,Senior Staff,9999-01-01,1994-03-21
29265,Gilbert,Calkin,Staff,9999-01-01,1988-03-21
29679,Kolar,Steenbeek,Senior Engineer,9999-01-01,1986-10-18
29418,Valery,Mersereau,Assistant Engineer,9999-01-01,1998-07-01
29954,Pranay,Giarratana,Senior Engineer,9999-01-01,1992-09-29
29782,Jouko,Hellwagner,Senior Engineer,9999-01-01,1994-12-21
30154,Mayuko,Skafidas,Technique Leader,9999-01-01,1999-04-19
30007,Kousuke,Vecchio,Engineer,9999-01-01,1990-02-23
30007,Kousuke,Vecchio,Senior Engineer,9999-01-01,1999-02-23
30182,Leon,Potthoff,Engineer,9999-01-01,1985-12-08
30035,Tetsushi,Conta,Senior Staff,9999-01-01,1995-07-04
30182,Leon,Potthoff,Senior Engineer,9999-01-01,1993-12-08
30465,Randi,Avouris,Engineer,9999-01-01,1986-07-16
30465,Randi,Avouris,Senior Engineer,9999-01-01,1991-07-16
30695,Gudjon,Majewski,Senior Engineer,9999-01-01,1999-10-26
30484,Sailaja,Chvatal,Staff,9999-01-01,1999-05-18
31147,Divine,Sidhu,Senior Staff,9999-01-01,1989-07-05
30938,Yakkov,Samarati,Senior Staff,9999-01-01,2000-05-22
30938,Yakkov,Samarati,Staff,9999-01-01,1995-05-23
31341,Oksana,Zultner,Senior Staff,9999-01-01,1997-03-22
31188,Leandro,Gist,Technique Leader,9999-01-01,1993-02-03
31341,Oksana,Zultner,Staff,9999-01-01,1991-03-23
31568,Mark,Lalonde,Staff,9999-01-01,1996-11-24
31207,Abdelwaheb,Dulin,Senior Engineer,9999-01-01,1993-08-05
31909,Murthy,Peek,Engineer,9999-01-01,1994-07-19
31514,Harngdar,Schapire,Engineer,9999-01-01,1996-11-09
31514,Harngdar,Schapire,Senior Engineer,9999-01-01,2001-11-09
32347,Terresa,Peres,Senior Staff,9999-01-01,1997-09-15
32347,Terresa,Peres,Staff,9999-01-01,1990-09-15
32552,Atreye,Stanger,Assistant Engineer,9999-01-01,1993-09-10
32552,Atreye,Stanger,Engineer,9999-01-01,1999-09-10
32714,Radoslaw,Maliniak,Staff,9999-01-01,1997-11-17
33025,Jessie,Thorelli,Senior Staff,9999-01-01,1999-12-16
32649,Ingmar,Nannarelli,Senior Staff,9999-01-01,1988-06-10
32844,Tadahiko,Melton,Engineer,9999-01-01,1995-01-07
33722,Anwar,Collette,Senior Engineer,9999-01-01,1994-03-22
33215,Steen,Fasbender,Technique Leader,9999-01-01,1993-02-14
34077,Angel,Sichman,Senior Staff,9999-01-01,1997-11-16
34077,Angel,Sichman,Staff,9999-01-01,1988-11-16
35793,Oscar,Kusalik,Senior Staff,9999-01-01,1996-05-10
34261,Kyoichi,Callaway,Senior Staff,9999-01-01,1996-12-29
34261,Kyoichi,Callaway,Staff,9999-01-01,1990-12-30
34446,Chinhyun,Bauknecht,Senior Engineer,9999-01-01,1986-12-19
34452,Naftaly,Foong,Engineer,9999-01-01,1991-05-10
34452,Naftaly,Foong,Senior Engineer,9999-01-01,2000-05-09
34505,Felicidad,Kumaresan,Senior Staff,9999-01-01,2001-09-06
34505,Felicidad,Kumaresan,Staff,9999-01-01,1994-09-06
34533,Erzsebet,Shigei,Senior Engineer,9999-01-01,1991-01-21
34780,Moni,Kohling,Staff,9999-01-01,1994-07-21
34788,Ennio,Babu,Senior Engineer,9999-01-01,1994-08-31
34936,Bokyung,Stamatiou,Technique Leader,9999-01-01,1991-02-12
35044,Jiang,Waschkowski,Engineer,9999-01-01,1989-05-27
35044,Jiang,Waschkowski,Senior Engineer,9999-01-01,1997-05-27
35087,Leif,Ashish,Senior Staff,9999-01-01,2001-10-14
35087,Leif,Ashish,Staff,9999-01-01,1994-10-14
35441,Chandrasekaran,Peek,Engineer,9999-01-01,1988-02-07
35441,Chandrasekaran,Peek,Senior Engineer,9999-01-01,1993-02-06
35642,Ashish,Talmon,Engineer,9999-01-01,1995-06-13
35642,Ashish,Talmon,Senior Engineer,9999-01-01,2002-06-13
35793,Oscar,Kusalik,Staff,9999-01-01,1991-05-11
35798,Ulf,Oberman,Senior Engineer,9999-01-01,1997-03-15
36626,Fen,Genin,Senior Staff,9999-01-01,1986-05-09
36521,Serif,Gladwell,Senior Staff,9999-01-01,1993-03-05
36521,Serif,Gladwell,Staff,9999-01-01,1987-03-06
36844,Hailing,Levergood,Staff,9999-01-01,2000-01-12
36733,Uma,Reinhard,Staff,9999-01-01,1997-11-01
38043,Michaela,Randi,Engineer,9999-01-01,1985-11-23
36982,Kotesh,Rajala,Engineer,9999-01-01,1992-06-23
36982,Kotesh,Rajala,Senior Engineer,9999-01-01,2000-06-23
37070,Jeong,Undy,Senior Staff,9999-01-01,1993-02-13
37070,Jeong,Undy,Staff,9999-01-01,1985-02-13
37945,Suzette,Butterworth,Senior Engineer,9999-01-01,1994-02-19
38043,Michaela,Randi,Senior Engineer,9999-01-01,1994-11-23
38103,Masasuke,Babu,Engineer,9999-01-01,1988-03-31
38103,Masasuke,Babu,Senior Engineer,9999-01-01,1993-03-31
38168,Fumiko,Deverell,Senior Staff,9999-01-01,1996-08-14
38947,Shuichi,Ruemmler,Senior Staff,9999-01-01,1998-03-08
38168,Fumiko,Deverell,Staff,9999-01-01,1987-08-15
38550,JoAnne,Baez,Senior Engineer,9999-01-01,1987-02-16
38593,Huei,Orsini,Engineer,9999-01-01,1986-06-04
38593,Huei,Orsini,Senior Engineer,9999-01-01,1995-06-04
38947,Shuichi,Ruemmler,Staff,9999-01-01,1991-03-08
39000,Martijn,Vendrig,Senior Staff,9999-01-01,2002-03-03
39036,Changho,Cappelli,Staff,9999-01-01,1996-05-04
39000,Martijn,Vendrig,Staff,9999-01-01,1997-03-03
39301,Rimon,Kawashima,Senior Staff,9999-01-01,1998-02-05
39301,Rimon,Kawashima,Staff,9999-01-01,1992-02-06
39341,Mahmut,Lampe,Engineer,9999-01-01,1985-05-11
40269,Toshiki,Ghazalie,Senior Staff,9999-01-01,2000-12-04
39341,Mahmut,Lampe,Senior Engineer,9999-01-01,1994-05-11
39952,Otmar,Sudbeck,Staff,9999-01-01,1998-07-22
40269,Toshiki,Ghazalie,Staff,9999-01-01,1991-12-05
40283,Sudhanshu,Boissier,Engineer,9999-01-01,1985-05-11
40283,Sudhanshu,Boissier,Senior Engineer,9999-01-01,1993-05-11
40301,Spyrose,Felder,Senior Engineer,9999-01-01,1996-06-16
40536,Harngdar,Bernardinello,Engineer,9999-01-01,1988-02-29
40536,Harngdar,Bernardinello,Senior Engineer,9999-01-01,1996-02-29
40765,Michaela,Ramsak,Senior Staff,9999-01-01,2001-12-21
40765,Michaela,Ramsak,Staff,9999-01-01,1992-12-21
40773,Shimshon,Aingworth,Senior Staff,9999-01-01,1991-04-13
40773,Shimshon,Aingworth,Staff,9999-01-01,1986-04-13
41114,Petter,Thummel,Technique Leader,9999-01-01,1995-12-24
40983,Marla,Cherinka,Technique Leader,9999-01-01,1986-12-01
41137,Bikash,Buchter,Senior Staff,9999-01-01,1992-11-22
41137,Bikash,Buchter,Staff,9999-01-01,1987-11-23
41609,Yucai,Simmen,Senior Staff,9999-01-01,1987-10-13
41357,Willard,Vernadat,Engineer,9999-01-01,1997-03-04
41518,Keung,Schapiro,Senior Engineer,9999-01-01,1998-04-19
41520,Xiong,Uhrik,Senior Engineer,9999-01-01,1988-03-21
42911,Brigham,Eterovic,Engineer,9999-01-01,1994-10-08
42778,Shuji,Remmers,Senior Staff,9999-01-01,1996-12-17
42778,Shuji,Remmers,Staff,9999-01-01,1987-12-18
42911,Brigham,Eterovic,Senior Engineer,9999-01-01,1999-10-08
42950,Shaleah,Eickenmeyer,Senior Staff,9999-01-01,1993-10-09
42955,Yucel,Lortz,Engineer,9999-01-01,1995-02-21
43848,Phillip,Oxenboll,Engineer,9999-01-01,1999-05-26
43154,Maha,Waterhouse,Senior Staff,9999-01-01,2002-07-04
43154,Maha,Waterhouse,Staff,9999-01-01,1997-07-04
43733,Huei,Boguraev,Senior Staff,9999-01-01,1998-12-31
43733,Huei,Boguraev,Staff,9999-01-01,1993-12-31
44054,Alenka,Ritcey,Engineer,9999-01-01,1997-02-09
44900,Mark,Schwaller,Senior Staff,9999-01-01,2001-08-10
44265,Maria,Eppinger,Engineer,9999-01-01,1997-01-30
44540,Mingzeng,Sadowski,Senior Engineer,9999-01-01,1989-11-12
44900,Mark,Schwaller,Staff,9999-01-01,1994-08-10
45162,Dulce,Speel,Engineer,9999-01-01,1987-10-19
44959,Volkmar,Uhrik,Engineer,9999-01-01,1988-01-16
44959,Volkmar,Uhrik,Senior Engineer,9999-01-01,1995-01-16
44962,Sariel,Wynblatt,Assistant Engineer,9999-01-01,1996-05-18
45162,Dulce,Speel,Senior Engineer,9999-01-01,1996-10-18
46328,Wuxu,Trogemann,Senior Staff,9999-01-01,1997-01-27
46000,Zhaofang,Penn,Senior Staff,9999-01-01,2002-07-24
46000,Zhaofang,Penn,Staff,9999-01-01,1997-07-24
46811,Junsik,Berendt,Senior Engineer,9999-01-01,1988-04-27
46834,Tooru,Daescu,Senior Staff,9999-01-01,1998-03-20
47016,Toong,Litecky,Senior Staff,9999-01-01,1994-03-01
46943,Pasqua,Maraist,Engineer,9999-01-01,1993-12-06
46943,Pasqua,Maraist,Senior Engineer,9999-01-01,1998-12-06
47016,Toong,Litecky,Staff,9999-01-01,1989-03-01
47262,Gonzalo,Binkley,Engineer,9999-01-01,1985-08-16
47139,Marco,Usdin,Engineer,9999-01-01,1996-10-29
47262,Gonzalo,Binkley,Senior Engineer,9999-01-01,1990-08-16
47515,Naraig,Jenevein,Senior Engineer,9999-01-01,1987-01-18
47702,Juyoung,Vieri,Senior Staff,9999-01-01,1999-08-12
47702,Juyoung,Vieri,Staff,9999-01-01,1991-08-12
47708,Edwin,Haldar,Senior Staff,9999-01-01,1995-07-12
48690,Hitomi,Schaap,Staff,9999-01-01,1999-09-27
48275,Sariel,Massonet,Senior Staff,9999-01-01,1993-11-19
48275,Sariel,Massonet,Staff,9999-01-01,1987-11-20
48882,Leen,Lamparter,Engineer,9999-01-01,1993-06-07
48882,Leen,Lamparter,Senior Engineer,9999-01-01,2001-06-07
48904,Yuichiro,Malabarba,Senior Staff,9999-01-01,1999-03-07
48947,Filipp,Akaboshi,Senior Staff,9999-01-01,1992-05-20
48904,Yuichiro,Malabarba,Staff,9999-01-01,1994-03-07
49119,Lena,Peek,Engineer,9999-01-01,1991-05-16
49010,Kazuhisa,Benantar,Senior Staff,9999-01-01,1994-10-23
49010,Kazuhisa,Benantar,Staff,9999-01-01,1989-10-23
49017,Filipp,Flanders,Engineer,9999-01-01,1990-11-26
49017,Filipp,Flanders,Senior Engineer,9999-01-01,1999-11-26
49119,Lena,Peek,Senior Engineer,9999-01-01,1997-05-15
49177,Tze,Bach,Engineer,9999-01-01,1999-03-09
49464,Siddarth,Cappelletti,Staff,9999-01-01,1999-09-10
49477,Baocai,Leaver,Senior Staff,9999-01-01,1998-08-05
50831,Marie,Khalid,Senior Engineer,9999-01-01,1990-10-27
50293,Xinan,Rindone,Engineer,9999-01-01,1996-10-08
50311,Mooi,Stafford,Senior Engineer,9999-01-01,1996-10-06
50453,Aron,Harbusch,Staff,9999-01-01,1997-10-02
50670,Boguslaw,Snedden,Senior Staff,9999-01-01,1993-02-20
50670,Boguslaw,Snedden,Staff,9999-01-01,1985-02-20
51142,Rosine,Lakshmanan,Engineer,9999-01-01,1986-01-31
51036,Chriss,Fasbender,Staff,9999-01-01,1995-05-23
51057,Theirry,Albarhamtoshy,Senior Staff,9999-01-01,1996-09-26
51057,Theirry,Albarhamtoshy,Staff,9999-01-01,1991-09-27
51060,Youngkon,Rohrbach,Engineer,9999-01-01,1989-10-20
51060,Youngkon,Rohrbach,Senior Engineer,9999-01-01,1998-10-20
51142,Rosine,Lakshmanan,Senior Engineer,9999-01-01,1991-01-31
52283,Trygve,Krupka,Senior Staff,9999-01-01,2001-03-11
52038,Chikako,Armand,Senior Engineer,9999-01-01,1985-05-18
52040,Phule,Heijenga,Senior Staff,9999-01-01,1998-02-21
52040,Phule,Heijenga,Staff,9999-01-01,1992-02-22
52386,Adas,Denti,Senior Staff,9999-01-01,1995-05-30
52386,Adas,Denti,Staff,9999-01-01,1986-05-30
52283,Trygve,Krupka,Staff,9999-01-01,1994-03-11
52770,Shugo,Yurek,Senior Staff,9999-01-01,1998-08-28
52590,Jouni,Munoz,Senior Staff,9999-01-01,2000-11-25
52590,Jouni,Munoz,Staff,9999-01-01,1995-11-26
52599,Augustine,Mungall,Engineer,9999-01-01,1987-08-31
52599,Augustine,Mungall,Senior Engineer,9999-01-01,1996-08-30
52639,Arup,Colorni,Senior Staff,9999-01-01,1996-02-05
52770,Shugo,Yurek,Staff,9999-01-01,1992-08-28
52778,Alain,Penn,Technique Leader,9999-01-01,1986-05-03
53278,Premsyl,Lortz,Senior Staff,9999-01-01,1999-02-01
52956,Khalil,Picci,Engineer,9999-01-01,1987-03-21
52956,Khalil,Picci,Senior Engineer,9999-01-01,1992-03-20
52970,Lobel,Werthner,Engineer,9999-01-01,1988-03-17
52970,Lobel,Werthner,Senior Engineer,9999-01-01,1997-03-17
53278,Premsyl,Lortz,Staff,9999-01-01,1993-02-01
53314,Eberhardt,Carrera,Staff,9999-01-01,1999-02-23
53499,Zdislav,Mandelberg,Engineer,9999-01-01,1994-09-11
53431,Sham,Vasanthakumar,Senior Staff,9999-01-01,1985-10-24
53499,Zdislav,Mandelberg,Senior Engineer,9999-01-01,2000-09-10
54632,Etsuo,Serot,Senior Staff,9999-01-01,1997-06-14
53597,Jiafu,Marchegay,Engineer,9999-01-01,1985-03-02
53597,Jiafu,Marchegay,Senior Engineer,9999-01-01,1992-03-02
53874,Bodo,Schade,Senior Staff,9999-01-01,1995-02-14
53874,Bodo,Schade,Staff,9999-01-01,1986-02-14
53924,Arnould,Gaughan,Engineer,9999-01-01,1991-01-23
53924,Arnould,Gaughan,Senior Engineer,9999-01-01,1998-01-23
54198,Shaowen,Segond,Engineer,9999-01-01,1986-01-06
54198,Shaowen,Segond,Senior Engineer,9999-01-01,1993-01-06
54632,Etsuo,Serot,Staff,9999-01-01,1989-06-14
56209,Remzi,Douceur,Engineer,9999-01-01,1992-12-01
54795,Sumant,Nergos,Senior Staff,9999-01-01,2000-05-07
54795,Sumant,Nergos,Staff,9999-01-01,1993-05-07
54800,Breannda,Cangellaris,Staff,9999-01-01,2000-01-27
55640,Adit,Syrotiuk,Engineer,9999-01-01,1993-07-16
55640,Adit,Syrotiuk,Senior Engineer,9999-01-01,1999-07-16
55687,Shih,Lindqvist,Senior Engineer,9999-01-01,1995-03-29
55799,Jianwen,Litzler,Engineer,9999-01-01,1987-06-17
55799,Jianwen,Litzler,Senior Engineer,9999-01-01,1993-06-16
55857,Adin,Scallan,Senior Staff,9999-01-01,1996-09-14
55857,Adin,Scallan,Staff,9999-01-01,1987-09-15
56105,Makato,Remmers,Engineer,9999-01-01,1989-04-16
56105,Makato,Remmers,Senior Engineer,9999-01-01,1994-04-16
56209,Remzi,Douceur,Senior Engineer,9999-01-01,1998-12-01
56415,Sigeru,Nivat,Senior Staff,9999-01-01,1999-10-24
56415,Sigeru,Nivat,Staff,9999-01-01,1991-10-24
56428,Olivera,Hanabata,Senior Staff,9999-01-01,1992-11-09
56428,Olivera,Hanabata,Staff,9999-01-01,1986-11-10
56829,Nagui,Gruenwald,Engineer,9999-01-01,1995-12-24
56682,Roded,Picco,Assistant Engineer,9999-01-01,1993-11-06
56847,Menkae,Chinin,Senior Engineer,9999-01-01,1989-08-19
57934,Sanjoy,Boudaillier,Engineer,9999-01-01,1989-12-27
57934,Sanjoy,Boudaillier,Senior Engineer,9999-01-01,1997-12-27
58384,Mariusz,Vural,Engineer,9999-01-01,1993-11-14
58141,Bezalel,Karner,Staff,9999-01-01,1994-09-27
58147,Shigenori,Sullins,Senior Staff,9999-01-01,1988-02-24
58384,Mariusz,Vural,Senior Engineer,9999-01-01,2001-11-14
58819,Gennady,Liesche,Senior Staff,9999-01-01,1987-12-02
58454,Ziya,Zambonelli,Engineer,9999-01-01,1999-06-29
58497,Yechiam,Cairo,Senior Staff,9999-01-01,1996-07-12
59966,Steen,Salvesen,Technique Leader,9999-01-01,1993-02-03
58990,Palash,Trelles,Engineer,9999-01-01,1998-11-18
59195,Ronnie,Pollock,Technique Leader,9999-01-01,1990-06-19
59640,Zita,Hiltgen,Staff,9999-01-01,1999-01-26
59869,Zsolt,Riefers,Senior Staff,9999-01-01,1994-09-25
59869,Zsolt,Riefers,Staff,9999-01-01,1987-09-25
60238,Erzsebet,Claffy,Staff,9999-01-01,1997-03-03
60000,Heekeun,Emmart,Assistant Engineer,9999-01-01,1995-09-23
60000,Heekeun,Emmart,Engineer,9999-01-01,2001-09-22
60091,Surveyors,Bade,Senior Staff,9999-01-01,1996-04-10
60091,Surveyors,Bade,Staff,9999-01-01,1990-04-11
60821,Moty,Mersereau,Senior Staff,9999-01-01,1999-09-03
60559,Jeanna,Stemann,Engineer,9999-01-01,1988-08-29
60559,Jeanna,Stemann,Senior Engineer,9999-01-01,1996-08-29
60821,Moty,Mersereau,Staff,9999-01-01,1991-09-03
60845,Bedir,Siegrist,Engineer,9999-01-01,1997-05-13
60875,Rildo,Masaki,Engineer,9999-01-01,1990-01-14
60875,Rildo,Masaki,Senior Engineer,9999-01-01,1997-01-14
61253,Cheong,Uhrik,Engineer,9999-01-01,1996-06-04
60959,Tetsushi,Sridhar,Senior Staff,9999-01-01,1997-01-12
60959,Tetsushi,Sridhar,Staff,9999-01-01,1989-01-12
61147,Leszek,Werthner,Staff,9999-01-01,1999-03-03
61253,Cheong,Uhrik,Senior Engineer,9999-01-01,2001-06-04
61873,Woody,Rusmann,Assistant Engineer,9999-01-01,1993-02-26
61377,Dannz,Ohori,Senior Staff,9999-01-01,1994-01-17
61377,Dannz,Ohori,Staff,9999-01-01,1988-01-18
61541,Kasidit,Papsdorf,Engineer,9999-01-01,1993-08-17
61541,Kasidit,Papsdorf,Senior Engineer,9999-01-01,1999-08-17
61873,Woody,Rusmann,Engineer,9999-01-01,2002-02-26
62033,Heeju,Cappelli,Engineer,9999-01-01,1987-01-15
62033,Heeju,Cappelli,Senior Engineer,9999-01-01,1994-01-15
63419,Hiroyasu,Seuren,Senior Engineer,9999-01-01,1989-03-05
62046,Karlis,Nanard,Engineer,9999-01-01,1992-09-19
62046,Karlis,Nanard,Senior Engineer,9999-01-01,2001-09-19
62245,Adel,Bressoud,Engineer,9999-01-01,1995-08-30
63294,Tetsushi,Tanemo,Engineer,9999-01-01,1997-03-01
63294,Tetsushi,Tanemo,Senior Engineer,9999-01-01,2002-03-01
63441,Hinrich,Scallan,Staff,9999-01-01,1999-04-04
63706,Sedat,Itzigehl,Engineer,9999-01-01,1997-07-31
63566,Heekeun,Slaats,Senior Staff,9999-01-01,1999-01-12
63631,Falguni,Cherinka,Senior Engineer,9999-01-01,1986-09-08
64023,Laurentiu,Benzmuller,Senior Engineer,9999-01-01,1999-11-08
64487,Tsutomu,Rebaine,Engineer,9999-01-01,1986-09-17
64209,Golgen,Schoegge,Senior Staff,9999-01-01,1988-02-26
64487,Tsutomu,Rebaine,Senior Engineer,9999-01-01,1994-09-17
